qstr_Breaking_camp...|Yeni kamp...
qstr_You_need_to_have_more|Bu iş için 250 adamdan fazlasına ihtiyacın var.
qstr_You_need_to_have_at_|Haini bulması için birkaçını görevlendireceksen en az 40 adama ihtiyacın var.
qstr_You_need_more_than_3|30'dan fazla adama ihtiyacın var ya da birkaçını göndermek kampını savunmasız bırakacak. 
qstr_You_need_to_have_more_|Bu iş için 10 adamdan fazlasına ihtiyacın var.
qstr_You_need_to_have_more_t|Bunu yapmak için 80 adamdan fazlasına ihtiyacın var.
qstr_>>The_assault_equipm|>>Saldırı ekipmanları hazır. Birliklerin emirlerini bekliyor.^^
qstr_>>You_look_at_{s4}._|>>{s4}'e bakıyorsun. Adamların sessiz, ölüm karşısında emirlerini yerine getirmeyi bekliyorlar. Kasların gergin, savaş için sıcak, zihnin sakin ve adrenalin damarlarını dolduruyor.^Bir adam derin nefes alıyor. 'Kokuyu duydun mu?' diye soruyor, 'Bu ihtişamın kokusu?'. 'Yakalamaya hazır mısın?'.^^
qstr_>>The_steel_of_the_w|>>Silahların gümüşü parıldıyor, sancaklar rüzgarda salınıyor ve savaş borusu ötüyor. Adamlar fısıldıyor, hayatlarının sonuyla yüzleşmeden önce tanrı ile bir olarak bir çoğu dua ediyor. Önünüzde yalnız iki şey var: zafer ya da ölüm. ^Savaş...savaş asla değişmez.^^
qstr_>>Winter_is_the_wors|>>Kış, savaşmak için en kötü zamandır, fakat soğuk zamanlardadınız ve {s4}'in fethi için hazırsınız. Bir çok insan senin gözükara olduğunu düşünür, diğer yarısı da deli. Ama hiçbiri senin bir gün Brytenwalda olacağını bilmiyor.^^
qstr_>>It_s_summer_and_ho|>>Mevsim yaz ve sıcak, belki çok sıcak. Fakat şu anda hiç bir şey hisetmiyorsun. Her zamanki gibi savaştan önce geçmişin birkaç kaçınılmaz anısı için zaman ayırıyorsun... Sonra zihnini kapatıp, savaşa ve hatta en kötüsüne ölümle yüzleşmeye hazırlanıyorsun. ^^
qstr_>>You_look_at_{s4}._Y|>>{s4}'e bakıyorsun. Adamların sessiz, ölüm karşısında emirlerini yerine getirmeyi bekliyorlar. Kasların gergin, savaş için sıcak, zihnin sakin ve adrenalin damarlarını dolduruyor.^Bir adam derin nefes alıyor. 'Kokuyu duydun mu?' diye soruyor; 'Bu ihtişamın kokusu'. 'Yakalamaya hazır mısın?'.^^
qstr_>>Your_men_have_finish|>>Adamların kalkan inşaatını bitiriyor. Artık onları adamlarını öncü saldırılardan ve ana gücünü son taarruzdan korumak için kullanabilirsin.^^
qstr_>>Your_men_are_buildi|>>Adamların kalkan inşa ediyor.^^
qstr_>>Your_men_have_finishe|>>Adamların merdiven inşaatını bitirdi.^^
qstr_>>Your_men_are_buildin|>>Adamların saldırı merdiveni inşa ediyor.^^
qstr_{s4}_lost_between_40|{s4} yiyecek stoklarının %40 ile %50 arasında miktarını kaybetti.
qstr_{s4}_lost_between_50|{s4} yiyecek stoklarının %50 ile %60 arasında miktarını kaybetti.
qstr_{s4}_lost_between_30|{s4} yiyecek stoklarının %30 ile %40 arasında miktarını kaybetti.
qstr_{s4}_lost_between_10|{s4} yiyecek stoklarının %10 ile %20 arasında miktarını kaybetti..
qstr_{s4}_have_between_10|{s4} garnizonunun  %10 ile %30 arasında adamı birkaç gündür hasta. 
qstr_It_should_have_food_|{reg6} gün boyunca yiyecek stokları olmalı. ^ Garnizonun {reg5} adamı var.
qstr_^^The_following_armi|^^Aşağıdaki ordular içeride:^
qstr_^{s3}_with_{reg1}_tr|^{reg1} birlikleri ile {s3}.
qstr_^^Commander_this_tow|^^ Komutan, bu kasaba büyük bir kaya. Tek bir darbe değişmeden önce yerimizden kaçtıktan çok önce, bu yüzden erkekler arasında moral vermemiz gerekiyor. Ana kapıya giden yol müthiş dar ve dik, ancak kamp kurar ve bir tokmak koyarsak, şehrin arka girişindeki duvarı yıkabiliriz. Duvar düştüğünde, nefesi kesmeden içeri girebiliriz. Şehir merkezine giden adımlar orada daha az.
qstr_^^Alt_Clut_the_rock_|^^ Alt Clut, Clyde üzerindeki yüksek kaya. Burası kuzey İngilizlerin en güçlü kalesidir. Hiç kimse gününüzde kuşatma ile almadı. Clyde'nin ağzını kontrol eden King Riderch Hael'in Bernistler ve Picts ile savaştığı yerdi.
qstr_^^This_formidable_st|^^ Bu müthiş kale, Dumnonia krallığının mücevheridir. Burada Mediterranea'dan birçok gemi şarap ve lüks dolu gelir. Efsaneye göre, savaş lordu Arthur burada doğmuş.
qstr_^^Dun_Taruo_the_fort|^^ Dun Taruo, boğa kalesi. Burası devlerin eseri gibi gözüküyor ve yüzyıllarca, Picts ününü biliyor.
qstr_^^The_seat_of_the_br|^^ Cesur Goutodin savaşçılarının koltuğu. Buradan, Bernisyenlere karşı saldırılarını başlattılar ve kahramanlıklarının sonu asla unutulmayacak. Goutodin uzun zaman önce yok olmasına rağmen, neredeyse cesaretlerini buradan koklayabilirsiniz.
qstr_^^This_place_is_just|^^Burası sadece onu fethetmeni bekliyor.
qstr_As_a_last_defensive_|Son bir savunma çabası olarak iç kalenin ana salonuna çekiliyorsun. Sen ve kalan askerlerin burada umutsuz bir savaş veriyor. Eğer yenilirsen geri kaçacak başka yer yok.
qstr_You_ve_been_driven_a|Surlardan uzaklaştırıldınız. Saldırganlar sokaklara yayılıyor. Eğer onları yenebilirsen durumu tersine çevirip günü kurtarabilirsin.
qstr_You_ve_breached_the_|Kasaba duvarlarını aştınız fakat inatçı savunmacılar sokaklarda size karşı koymaya devam ediyor. Kasabanın merkezini almak için saldırmadan önce onların çaresine bakmalısın.
qstr_The_town_centre_is_y|Kasaba merkezi senin fakat kalan savunmacılar kaleye kaçtı. Zaferini tamamlamadan önce düşürülmeli.
qstr_The_remaining_defend|Kalan savunmacılar son bir savunma için kaleye kaçtı. İçeri girip son direnci de kırmalısın. 
qstr_{s10}^^|{s10}^^
qstr_{s10}You_may_decide_|{s10} Birliğin fraksiyonunuz için fethetmek istiyorsanız, {reg2?town:fort} 'a zarar vermesini yasaklamaya karar verebilirsiniz, ancak birlikleriniz moral kaybedebilir.
qstr_{s10}You_can_allow_s|{s10} Biraz yağmalamaya izin verebilir ve {reg2?town:fort} 'ı saklayabilirsiniz.
qstr_However_since_you_ar|{s9}{.nin} yeminli {reg59?follower:man} olmadığından seni bu {reg8?town:fort}{.nin} {reg59?lady:lord}{.i} olarak tanıma şansı yok.
qstr_The_enemy_has_been_f|Düşman geri çekilmeye zorlandı. Saldırı bitti ancak kuşatma devam ediyor.
qstr_As_you_approach_you_|Yaklaştıkça, seni karşılayan ve kapıyı {reg59?queen:king} için açan kale korumaları tarafından tanınıyorsun. 
qstr_As_you_approach_you_a|Yaklaştıkça, seni karşılayan ve kapıyı {reg59?lady:lord} için açan kale korumaları tarafından tanınıyorsun.
qstr_^Christians_aren_t_w|^Hristiyanlar burada hoş karşılanmazlar.
qstr_^Christians_are_acce|^Hristiyanlar burada normal çoğunlukta.
qstr_^Christians_are_in_t|^Hristiyanlar burada çoğunluğu oluşturuyor.
qstr_^Christians_are_domi|^Hristiyanlar burada baskın halde.
qstr_^This_village_is_a_b|^Bu köy senin inancının bir kalesi niteliğinde.
qstr_^Rumor_has_it_that_C|^Söylentiye göre buradaki halk için Hristiyanlık bir maskeden fazlası değil. Onlar pagan tanrılarına tapmaya devam ediyorlar...
qstr_^Pagans_aren_t_welco|^Paganlar burada hoş karşılanmazlar.
qstr_^Pagans_are_accepted|^Paganlar burada normal çoğunlukta.
qstr_^Pagans_are_in_the_m|^Paganlar burada çoğunluğu oluşturuyor.
qstr_^Pagans_are_dominant|^Paganlar burada baskın halde.
qstr_^Rumor_has_it_that_o|^Söylentiye göre Hristiyanlık gündelik yaşantıya işledikçe buradaki halk eski pagan tanrılarını unutur hale gelmiş. 
qstr_This_village_and_the|Bu köy ve etraftaki alanlar sana ait.
qstr_You_remember_that_th|Bu köy ve etrafının {s7}{.e} ait olduğunu hatırlıyorsun. 
qstr_These_lands_belong_t|Bu yerlerin sahibi yok.
qstr_The_village_is_infes|Köy {reg8} {s35} tarafından istila edildi.
qstr_The_village_has_been|Köy yağmalandı. Yanmış evlerin arasından geçerken ruhlar dağılıyor.
qstr_The_village_is_being|Köy istilaya uğradı. 
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|Buradaki hiçkimse tarafına katılmaya istekli görünmüyor.
qstr_Try_as_you_might_you|İstediğin kadar uğraş haydutları yenemezsin. Köylüleri cezalandırmak için köyü yerle bir ettiler ve sonra yanan otlakları da talan etmek için arkalarında öylece bıraktılar. 
qstr_castle|kale
qstr_The_{s17}_has_no_imp|{s17}{.de} hiç gelişme yok.
qstr_The_{s17}_has_the_fo|{s17}{.de} aşağıdaki gelişmeler oldu: {s18}.
qstr___Christian_riots_co| (Hristiyan ayaklanmalarına neden olabilir: {reg33} ilişki düştü)
qstr___Pagan_riots_could_| (Pagan ayaklanmalarına neden olabilir: {reg33} ilişki düştü)
qstr_Your_enemies_beat_yo|Düşmanların seni yere serdi ve ölüme terketti. 
qstr_You_have_fallen._You|Düştün. Düşmanların her köşede senin vücudunu aradı sonra da gecenin içinde gözden kayboldular. Zor da olsa hayatta kaldın.
qstr_Luckily_some_of_your|Şanslısın ki adamlarından birkaçı sen geri dönmeyince seni aramaya geldi ve seni yolun kenarında yatarken buldu. Biran önce güvenliğini sağlamaya ve yaralarını sarmaya çalışıyorlar.
qstr_Luckily_some_passing|Şanslısın ki yoldan geçen birkaç kasaba halkı seni yolun kenarında yatarken buldu ve senin sıradan bir dilenci olmadığını farketti. Seni en yakın hana taşıdılar ve yaralarını sardılar.
qstr_Going_through_the_ba|Haydutların cüzdanları üzerinden geçerken, 'Öldür' sözcüğünün bulunduğu kirli yırtık bir parça ve adınızın hala görülebilir bir kısmını keşfediyorsunuz. Parşömen ters çevirdiğinizde 'Benimle {s3}'da buluş.' karalamalarını görüyorsun.
qstr_Your_efforts_prove_s|Çabalarınız başarılı oldu ve bazı insanlar inançlarını değiştirdi.
qstr_Your_efforts_to_conv|İnsanların inançlarını değiştirme çabalarınız sefilce başarısız oldu.
qstr_You_fail_to_steal_an|Hiç sığır çalamadın.
qstr_You_drive_away_{reg1|Köyün sürüsünden {reg17} baş sığır çaldın.
qstr_People_aren_t_very_h|İnsanlar senin evlerine ziyaretlerinden pek memnun değiller. 
qstr_^This_town_is_a_bast|^Bu şehir senin inancının bir kalesi niteliğinde.
qstr__As_you_reach_the_sett| Yerleşim yerine vardığında adamların tarafından karşılanıyorsun.
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl| Yerleşim yerine yaklaşınca, {s7} beye bağlı adamlar tarafından karşılandın.
qstr__This_fort_seems_to_| Bu kale kimsenin değil gibi duruyor.
qstr_You_are_greeted_by_m|Sana sadık adamların tarafından karşılandın.^{s15}
qstr_You_are_greeted_by_me|{s7}{.e} sadık adamlar tarafından karşılandın.^{s15}
qstr__This_town_seems_to_| Bu şehir kimsenin değil gibi duruyor.
qstr__You_have_successful| Başarılı bir şekilde içeri sızdın.
qstr_{s13}_A_tournament_w|{s13} Yakında burada bir turnuva düzenlenecek. 
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_A_fine_pony_is_award|Zaferiniz için iyi bir midilli ödülü.
qstr_A_fat_cow_is_awarded|Zaferin için besili bir inek ile ödüllendirildin.
qstr_You_are_given_a_beau|Sana muhtemelen yüce bir savai beyinin giydiği güzel bir postlu zırh verildi.
qstr_They_give_you_a_fine|They give you a fine sword, worthy of a noble.
qstr_They_appreciate_your|Yarışmaya katılmanı takdir ediyorlar ve sana sunacakları büyük bir ödülleri olmadığı için özür diliyorlar. 
qstr_Moreover_you_earn_{r|Dahası, senin üzerinden girilen iddiadan {reg8} pening kazandın...
qstr_Victory_is_yours!_Yo|Zafer senindir! Bu dövüşü kazandın fakat kendini ikinci raund için hazırlamalısın.  
qstr_You_have_been_bested|Bu meydan kavgasında yenildin fakat tören ustası senin yetenek ve cesaretini tanıdığını bildirip sıradaki turda da yer almana izin veriyor. 
qstr_You_were_beaten._The|Yenildin. Köylüler başarıları nedeniyle yüreklendi fakat onlara vermek istediğin ders muhtemelen anlaşılmadı...
qstr_After_beating_your_l|Son rakibini de yendikten sonra köylülere bir saldırı karşısında kendilerini nasıl daha iyi koruyacaklarını açıklıyorsun. Neyse ki gemide deneyim kazanacaklar ve bir sonrakine hazır olacaklar. 
qstr_The_bandits_are_brok|Haydutlar dağıtıldı! Hayatta kalan birkaç tanesi de köylülerden ve yeni efendilerinden korkmuş bir şekilde kuyruklarını bacakları arasına alıp kaçtı. 
qstr_Can_t_merge_both_fle|Her iki filo da birleştirilemez çünkü deniz kralının yetenekleri yeterince yüksek değil.
qstr_Can_t_merge_both_flee|Her iki filo da birleştirilemez çünkü bu yedi geminin filo sınırını aşacaktır.
qstr_Fleets_merged.|Filolar birleştirildi.
qstr_The_trader_you_are_e|Korumalık ettiğin tüccar kayık kullanmak istemiyor. 
qstr_The_ferry_station_is|Vapur istasyonu çok küçük ve bir mareşal ve bütün ordusunu taşıyamaz.
qstr_You_can_t_enter_the_|Limana çıkamazsın çünkü bu kasabada istenmiyorsun. 
qstr_You_can_t_enter_the_p|Limana çıkamazsın çünkü bu kasabada istenmiyorsun. Ayrıca bu kasabaya denizden saldırılamaz. 
qstr_You_can_t_enter_the_po|Limana çıkamazsın. Limanda zaten bir filon var ve deniz kralı yeteneğin iki filoyu birleştirecek seviyede değil. 
qstr_You_can_t_enter_the_por|Limana çıkamazsın. Limanda zaten bir filon var ve iki filoyu birleştiremezsin çünkü bu 7 gemiyi aşar. 
qstr_You_already_have_a_f|Limanda zaten bir filon var. İki filoyu birleştirmek istiyor musun?
qstr_Unfortunately_{reg3?|Ne yazık ki, {reg3?You are:{s1} is} kar sağlayacak herhangi bir ticaret eşyası bulamadı. 
qstr_^Buying_{s4}_here_an|^{s4}{.i} buradan alıp {s5}{.de} satmak her adet başına {reg6} pening kar sağlayacak.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?You find:{s1} finds} out the following:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1}, {reg0} tecrübe kazandı.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} ekstra {reg0} tecrübe kazandı.
qstr_^You_earned_{reg0}_e|^{reg0} deneyim kazandın.{s2}
qstr_The_training_didn_t_|Talim hiç iyi geçmedi.
qstr_The_training_didn_t_g|Talim çok iyi geçmedi. 
qstr_The_training_went_qu|Talim kötü sayılmazdı. 
qstr_The_training_went_ve|Talim gayet iyi geçti.
qstr_The_training_went_pe|Talim çok iyi geçti.
qstr_You_fall_on_the_grou|Birkaç yara alarak yere düştün. Her seferinde kalbin biraz daha yavaş çarpıyor ve görüşün soluyor... Bu savaş senin için çok fazla  ve ölümle tanışmak üzeresin. ^^Hayat kaçarken, birilerinin bir zamanlar {playername} adında biri yaşadığını hatırlamasını umuyorsun.
qstr_After_losing_the_sea|Deniz savaşını kaybettikten sonra bir gemi parçasına tutundun. Geçen balıkçılar da seni yakınlardaki bir kasabaya bıraktı. Tüm mürettebat ve gemilerini kaybettin.
qstr_Your_enemies_take_yo|Düşmanların seni esir aldı.
qstr_{s13}_asked_you_to_r|{s13}, senden en azından {reg13} birlkle gelmeni istedi.
qstr_{s13}_ordered_you_to|{s13}, sana {s14}{.e} karşı saldırıya katılmanı emretti.
qstr_Kingdom_Fails_to_Res|Kingdom Fails to Respond: The {s1} has not responded to the {s2}'s provocations, and {s3} suffers a loss of face among {reg4?her:his} more bellicose subjects...
qstr_There_has_been_an_al|Bildirilen bir sınır olayı var: {s9}
qstr_There_has_been_an_all|Bildirilen bir sınır olayı var:{s4} halkı {s3} karşısında savaş düşünüyor.
qstr_Border_incident:_Wor|Border incident: Word reaches you that {s9}. Though you don't know whether or not the rumors are true, you do know one thing -- this seemingly minor incident has raised passions among the people of the {s4}, making it easier for them to go to war against the {s3}...
qstr_The_great_lords_of_y|Krallığınızın büyük efendileri bir şölen için {s10} 'daki {s15} büyük salonunda toplanmayı planlıyor
qstr_^{s64}^|^{s64}^
qstr_^^Note_that_as_long_|^^Mareşal olarak kaldığın müddetçe bölgenin beyleri seferlerde kendilerini yönlendirmeni bekliyor olacak. Bu yüzden bir ziyafet bekliyorsan, düğün ya da başka bir amaçla, amirlerinle konuşup mareşallikten istifa etmelisin. 
qstr_Strange..._You_ve_be|İlginç... Uyuyakalmışsın ve hiç kabus gördüğünü hatırlamıyorsun. Net olarak hatırladığın tek şey Viking savaşçılarının Woden Ric'e bindikleri, silahlarını denizcilere ve kaptana sapladıkları ve Bodo'nun köşeye sıkışana dek kendini bir aslan gibi savunması. Zihninde konuşmasını duyuyorsun, '{playername}! Dövüş! Hala buradayım!'^^Öldüğünü hatırlıyorsun -- kendi ölümünü -- düşmanlarının üzerine düşüşünü. Zar zor nefes alırken hala yanağındaki ağaç gemi gövdesini hissediyorsun. Gözlerin, son kez annenin gözleriyle buluşuyor, demirle kuşanmış güçlü bir Viking, -- Sven olabilir mi? -- annenin başına mızrağını saplıyor ve bedenini kanara atıyor.^^Arkanda bir kan gölü bırakarak sürünüyorsun, bedeninin balıklara yem olmasını tercih ediyor fakat sonrasını hatırlamıyorsun.^^Öldün mü? Fakat öldüysen kaslarını ve yakındaki ateşin sıcaklığını nasıl hissediyorsun? Nasıl yumruğunu sıkabilir ve gözlerini açıp üzerindeki çatının kirişini ayırt edebiliyorsun? ^^Ve eğer hayattaysan seni kim kurtardı, nasıl ve neden? 
qstr_It_is_night_and_the_|Gece, ve manastır sessiz.
qstr_The_monks_bless_you_|Keşiş seni kutsuyor ve yoluna devam ediyorsun.
qstr_You_don_t_have_enough_|Bu yere akın etmek için yeterli adamın yok. 
qstr_You_need_to_have_more_m|Bunun için daha fazla adama ihtiyacın olabilir.
qstr_It_is_night_and_the_h|Gece oldu, ve avlu sessiz görünüyor.
qstr_The_gothi_has_sacrif|Gothi, sizin adınıza tanrıları yatıştırmak için hayvanları kurban etti.
qstr_You_are_now_a_pagan_a|Artık bir pagansın, Odin'in ve diğer İskandinav tanrılarının takipçisi.
qstr_The_majority_of_your|Birliğinde çoğunluk Pagan ve davranışını destekliyorlar.
qstr_The_majority_of_your_|Birliğinde çoğunluk Hristiyan ve davranışını beğenmiyorlar. 
qstr_In_the_arms_of_the_d|Adamların başrahibin elinde 'The Cathach of Colum Cille'i buluyor.
qstr_The_majority_of_your_t|Askerlerin çoğunluğu Hıristiyan ve eylemlerini destekliyor.
qstr_The_majority_of_your_tr|Askerlerinizin çoğunluğu Pagan ve eyleminden nefret ediyor.
qstr_{s3}_is_in_danger._S|{s3} tehlikede. Köy tamamen harap olmadan Boğa Boyunlu Sven'in saldırısından koru! Viking sadırısını geri püskürtmek için çok sayıda birliğe ihtiyacın olacak!
qstr_Return_to_{s3}_and_i|{s3}{.e} geri dön ve mahkumu sorgula.
qstr_Return_when_you_have|Elli beş veya daha az adamın olduğunda tekrar gel.
qstr_You_have_saved_{s3}.|{s3}{.i} kurtardın. şu an {s9}'e Sven ile işbirliği hakkında sorular sorman için en uygun zaman olabilir.
qstr_{s9}_did_not_come_to|{s9}, {s3}{.i} yardımına gelmedi. Thonkrik, beyin Boğa Boyunlu Sven ile işbirliği yaptığından şüpheleniyor. Onunla konuşmanın zamanı gelmiş olabilir ya da doğrudan krala gidip {s9}'in ihanetini anlatabilirsin.
qstr_Loot_Thiaderd_s_camp|Thiaderd'in kampını yağmala.
qstr_Ahead_in_a_small_cam|İleride küçük bir kampta kadınlar ve çocuklar, ayaklanmanın kadınları ve çocukları var. Nereye kaçacaklarını bilmez, korkmuş görünüyorlar. ^^Bu insanların arasında Thiaderd'ın karısı ve oğlu da var. Zor bir seçim, belki ileride intikam yolu arayacaklar ama yine de savaşçı değiller.
qstr_A_small_camp_stands_|Nehrin yanında küçük bir kamp var ve kulübeler arasında kadınları ve çocukları görüyorsun. Agresif tavırlı birkaç tane adam toplantına geliyor. Çok uzun boylu bir liderli var.
qstr_Note_2:_You_chose_to|Not 2: Thiaderd'in karısı ve oğlunu öldürmeyi seçtin.
qstr_Thiaderd_is_dead._Yo|Thiaderd öldü. Görevini tamamladın.
qstr_Note_2:_You_chose_to_|Not 2: Thiaderd'ın karısının ve oğlunun hayatını bağışlamayı seçtin.
qstr_Note_2:_You_chose_to_l|Not 2: Thiaderd'ın karısını ve oğlunu hayatta bırakmayı seçtin.
qstr_You_need_room_for_at|Devam edebilmek için ordundan en az bir kişilik yere daha ihtiyacın var!
qstr_^^In_the_middle_of_t|^^ Kalenin ortasında, satışa hazırlanan bazı mahkumları görüyorsunuz. Annen onların arasında olabilir mi?
qstr_Note_2:_In_Sven_s_hi|Not 2: Sven'in sığınağında Woden Ric'li bir seyyah olan Bodo'yu buldun. Bodo sayesinde Viking saldırısından sonra Woden Ric'e ne olduğunu öğrendin. Annen Bodo'nun kendisine verdiği şey sayesinde hayatta fakat o şey annene Vikingler için çok önem kazandırdı.
qstr_Return_when_you_have_|Yirmi beş veya daha az askeri olduğunda tekrar gel.
qstr_You_think_of_Thora_w|Seni her gece görmeye gelen ve sana bir çok çocuk verebilecek olan Thora'yı düşünüyorsun.
qstr_You_think_of_Thora_wh|Her gece Egil'i ziyaret eden Thora'yı düşünüyorsun. Babasının koruması altında çok güzel bir kadın. Mutlu olmaktan başka endişe edecek bir şeyi yok.
qstr_You_think_of_Thora_a|Babasının koruması altında çok güzel bir kadın olan Thora'yı düşünüyorsun. Mutlu olmaktan başka endişe edecek bir şeyi yok.
qstr_One_of_the_greatest_|Batı Seaxe ile Danimarkalılar arasında bilinen en büyük savaşlardan biri burada olmuştu. O güne ait hatıraların var çünkü sen de o savaştaydın.
qstr_This_place_destroyed|Adamlarının yıktığı bu yer kül ve taş yığınınından başka bir şey değil. 
qstr_Garrison:_{reg5}__li|Garnizon: {reg5} (limit: {reg0})^^ Adamlarını kale ve şehir gibi yerleşkelerde garnizona bırakmak onların yollardaki tehlikelerden uzak şekilde dinlenmesini sağlar ve maliyetlerini yarıya düşürür.
qstr_You_need_to_hire_a_c|İlk olarak bir aşçı bulmalısın. 
qstr_It_is_night_and_your|Gece ve sığınağın sessiz, bir grup adamın uyurken diğerleri gözetliyor. 
qstr_Your_garrison_size_e|Garnizondaki asker sayınız maksimum sınırını aşıyor. Bu durum adamlarınız arasında memnuniyetsizliğe ve devamında kaçak vakalarına sebep olacaktır!
qstr_Garrison_limit:_{reg|Garnizon sınırı: {reg0}
qstr_The_ramshackle_priso|Sığınağındaki köhne hapishane çok güvenli değil. Kaptan beyleri burada tutmamanı öneriyor!
qstr_You_do_not_have_enoug|Sığınağını yıkmak için adamlara ödeyecek yeterli paran yok.
qstr_Refuge_demolished!|Sığınak yıkıldı!
qstr_Your_men_think_you_v|O sana sırt çevirmiş olsa da Egil'in cenaze masraflarını karşılamanı adamların onurlu bir hareket olarak görüyor.
qstr_Note_Egil:_Egil_turn|Not Egil: Mektubu Batı Seaxe'a vermeye karar verdiğinde Egil sana sırt çevirdi. Sana saldırdı ve onu öldürmek zorunda kaldın. Herkes tarafından sevilen biri olduğundan cenazesine katılmaya ve masrafları ödemeye karar verdin. 
qstr_Your_men_think_you_ve|O sana sırt çevirmiş olsa da Egil'in cenaze masraflarını karşılamanı adamların onurlu bir hareket olarak görüyor.
qstr_Message|Mesaj
qstr_Your_men_cry_for_Egi|Adamların bir yandan Egil'in ihanetine üzülürken diğer yandan onun için yas tutuyorlar. Bir çoğu onu sevmişti, bir çoğu için de sevilen bir liderdi.
qstr_Note_Egil:_Egil_turne|Not Egil: Mektubu Batı Seaxe'a vermeye karar verdiğinde Egil sana sırt çevirdi. Sana saldırdı ve onu öldürmek zorunda kaldın. Adamlarına onu gömmesi için izin verdin.
qstr_Your_men_cry_for_Egil|Adamların Egil'in ölümü için üzülüyorlar fakat senin emirlerine de itaat ediyorlar. Artık senin hainleri affetmeyen sert bir lider olduğunu biliyorlar.
qstr_Note_Egil:_Egil_turned|Not Egil: Mektubu Batı Seaxe'a vermeye karar verdiğinde Egil sana sırt çevirdi. Sana saldırdı ve onu öldürmek zorunda kaldın. Adamlarını onu gömmeleri için dahi izin vermedin.
qstr_Shortly_after_landin|Karaya çıktıktan kısa süre sonra, sanki seni takip edermişcesine bir ulak göründü. Günlerce uyumamış gözlerinin altındaki mor halkaları ve atın yorgunluktan bitap düştüğünü farkettin. Nihayet derin bir nefes alıyor ve açıklıyor:^^
qstr_{s4}_{playername}_my|{s4}'{playername}, beyim Rathbarth Ragnarsson senin ardından ulak göndermiş ve Englaland için Frankia'dan ayrıldığını söylemişler. Senden Readingum'da Batı Seaxe' e son saldırıyı yöneten kardeşi Halfdan'a katılmanı istiyor. Doğu Engle'den devasa bir ordu ile ilerledik ve alanı yağmaladığımız Readingum yakınında bir kamp kurduk. Fakat Aethelred ve Aelfred milislerini Witan Ceaster'da toplanıp bize saldırdı. Neyse ki geri püskürttük.^^Şimdi Batı Seaxe kralı kardeşi Aelfred'den destek alıp bizle savaşmak için büyük bir ordu topladığı batıya, Aescesdun'a yönelmiş. Yardımınıza ihtiyaç var çünkü Halfdan onlar daha fazla adam toplayamadan üstlerine gitmek istiyor. Bu savaşın bugüne kadarki tüm savaşlardan daha büyük olmasıdan korkuyoruz! Kazanırsak Batı Seaxe bizim olacak!^^Rathbarth bana Sven Bull Neck'in de Aelfred ile olduğunu ve onun ordusu için savaştığını söyledi.'
qstr_{s4}_{playername}_my_|{s4}'{playername}, beyim Aelfred Aethelwulfing senin ardından ulak göndermiş ve Englaland için Frankia'dan ayrıldığını söylemişler. En kısa zamanda ona katılmanı istiyor. Danimarkalılar Batı Seaxe2a ilerlediklerinden o da krallıkta bir ordu toplamak için dolaşıyor. ^^Büyük bir ordu ile Doğu Engle'dan ilerlemişler ve Readingum'da kamp kurmuşlar. Kralımız Aethelred ve Aelfred miliste, Witan Ceaster'de toplandılar ve Readingum'da Danimarkalılara saldırdılar fakat geri püskürtüldüler. Şimdi Aescesdun'da adam toplayıp Danimarkalılarla tekrar yüzleşmeye hazırlanıyorlar! Birlikte Danimarkalılara karşı ilerleyeceğiz, tanrı bizi korusun! Başarısız olursak Batı Seaxe Englaland'ın geri kalanıyla birlikte kaybedilmiş olacak!^^Ealdorman Aelfred bana Boğa Boyunlu Sven'in de Halfdan ile olduğunu ve onun ordusu için savaştığını söyledi.'
qstr_You_met_Orm_the_Blac|Orm the Black ile teke tek dövüştün ve onu öldürdün.
qstr_Your_party_has_gaine|Tarafın moral kazandı.
qstr_You_met_{s1}_in_sing|{s1} ile teke tek dövüştün ve kazandın.
qstr_This_warrior|Bu savaşçı
qstr_The_enemy_party_has_|Düşman tarafı moral kaybetti.
qstr_You_met_{s1}_in_singl|{s1} ile teke tek dövüştün ve kaybettin.
qstr_Your_party_has_lost_|Tarafın moral kaybetti.
qstr_The_low_morale_of_yo|Ordunun düşük morali bazı adamlarının senin arkandan komplo kurmalarına neden oldu. Savaşçılarından biri dikkatsizce sen onu duyabiliyorken konuştu. Korumasız hissederek seni herkesin içinde aşağıladı ve liderlik için düelloya çağırdı... Ölümüne bir düello.
qstr_The_problems_of_mora|Moral sorunları savaşçılarından birinin kendini senin yerine geçecek lider adayı olarak tanıtmasına sebep oldu. Sana ölümüne bir düello ile meydan okudu...
qstr_Morale_is_so_low_a_w|Moral çok düşük, bir savaşçı ona yaklaştığında seni kötü bir lider olmakla suçlayarak aşağılıyor. Sonra da seni bir düelloya çağırıyor. Kazanan senin işini alacak.
